,Index,Movie_Name,Release_Year,Certificate,Run_Time,Rating,Summary,Director,Actors,Gross_Income
75,76.,To Kill a Mockingbird,1962,No Data,129 min,8.3,"  Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,"Robert Mulligan,Gregory Peck,John Megna,Frank Overton",No Data
76,77.,Lawrence of Arabia,1962,No Data,216 min,8.3,  The story of ,T.E. Lawrence,"T.E. Lawrence,David Lean,Peter O'Toole,Alec Guinness",$44.82M
77,78.,The Apartment,1960,No Data,125 min,8.3,"  A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,"Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray",$18.60M
78,79.,Ikiru,1952,No Data,143 min,8.3,  A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,"Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",$0.06M
79,80.,Ladri di biciclette,1948,No Data,89 min,8.3,"  In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Vittorio De Sica,"Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell",$0.33M
80,81.,Double Indemnity,1944,No Data,107 min,8.3,  An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Billy Wilder,"Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",$5.72M
81,82.,Citizen Kane,1941,PG,119 min,8.3,"  Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Orson Welles,"Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore",$1.59M
82,83.,Metropolis,1927,No Data,153 min,8.3,"  In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich",$1.24M
83,84.,The Kid,1921,No Data,68 min,8.3,"  The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin,"Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan",$5.45M
84,85.,Green Book,2018,UA,130 min,8.2,  A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini",$85.08M
85,86.,"Three Billboards Outside Ebbing, Missouri",2017,R,115 min,8.2,  A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,"Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell",$54.51M
86,87.,Room,I) (2015,R,118 min,8.2,"  Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,"Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers",$14.68M
87,88.,Kis Uykusu,2014,No Data,196 min,8.2,  A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Nuri Bilge Ceylan,"Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag",$0.17M
88,89.,PK,2014,UA,153 min,8.2,  An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,"Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt",$10.62M
89,90.,Inside Out,I) (2015,U,95 min,8.2,"  After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,"Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader",$356.46M
90,91.,Gangs of Wasseypur,2012,A,321 min,8.2,"  A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui",No Data
91,92.,El secreto de sus ojos,2009,R,129 min,8.2,  A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,"Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago",$6.39M
92,93.,Warrior,2011,UA,140 min,8.2,"  The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton",$13.66M
93,94.,A Wednesday,2008,UA,104 min,8.2,  A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Neeraj Pandey,"Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill",No Data
94,95.,The Wolf of Wall Street,2013,A,180 min,8.2,  Based on the true story of ,Jordan Belfort,"Jordan Belfort,Martin Scorsese,Leonardo DiCaprio,Jonah Hill",$116.90M
95,96.,Pan's Labyrinth,2006,R,118 min,8.2,"  In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,"Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López",$37.63M
96,97.,V for Vendetta,2005,A,132 min,8.2,"  In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",James McTeigue,"James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves",$70.51M
97,98.,Rang De Basanti,2006,UA,167 min,8.2,"  The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth",$2.20M
98,99.,Munna Bhai M.B.B.S.,2003,U,156 min,8.2,  A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh",No Data
99,100.,"Swades: We, the People",2004,U,210 min,8.2,  A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,"Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal",$1.22M
100,101.,Der Untergang,2004,R,156 min,8.2,"  Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,"Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",$5.51M
101,102.,A Beautiful Mind,2001,PG-13,135 min,8.2,  After ,John Nash,"John Nash,Ron Howard,Russell Crowe,Ed Harris",$170.74M
102,103.,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,No Data,90 min,8.2,  Concurrent theatrical ending of the TV series ,Shin Seiki Evangerion,"Shin Seiki Evangerion,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata",No Data
103,104.,Lagaan: Once Upon a Time in India,2001,PG,224 min,8.2,  The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh",$0.07M
104,105.,L.A. Confidential,1997,R,138 min,8.2,"  As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.",Curtis Hanson,"Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce",$64.62M
105,106.,Heat,1995,R,170 min,8.2,  A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,"Michael Mann,Al Pacino,Robert De Niro,Val Kilmer",$67.44M
106,107.,Casino,1995,A,178 min,8.2,"  A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",Martin Scorsese,"Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci",$42.44M
107,108.,Unforgiven,1992,R,130 min,8.2,"  Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",Clint Eastwood,"Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman",$101.16M
108,109.,Ran,1985,No Data,162 min,8.2,"  In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,"Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",$3.52M
109,110.,Raging Bull,1980,No Data,129 min,8.2,  The life of boxer ,Jake LaMotta,"Jake LaMotta,Martin Scorsese,Robert De Niro,Cathy Moriarty",$23.38M
110,111.,Stalker,1979,No Data,162 min,8.2,  A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,"Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",$0.23M
111,112.,Sholay,1975,Not Rated,198 min,8.2,"  After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,"Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan",No Data
112,113.,Chinatown,1974,No Data,130 min,8.2,"  A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston",$29.20M
113,114.,Andrei Rublev,1966,No Data,205 min,8.2,"  The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,"Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",$0.10M
114,115.,The Great Escape,1963,No Data,172 min,8.2,  Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,"John Sturges,Steve McQueen,James Garner,Richard Attenborough",$12.10M
115,116.,El ángel exterminador,1962,No Data,95 min,8.2,  The guests at an upper-class dinner party find themselves unable to leave.,Luis Buñuel,"Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal",No Data
116,117.,Yôjinbô,1961,No Data,110 min,8.2,  A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,"Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai",No Data
